Ref,Val,Package,PosX,PosY,Rot,Side
"R2","0R","R_0603_1608Metric",-77.647800,-26.974800,0.000000,bottom
"R3","0R/DNP","R_0603_1608Metric",-84.023200,-26.974800,180.000000,bottom
"R4","330R","R_0603_1608Metric",-84.023200,-24.942800,180.000000,bottom
"R5","330R/DNP","R_0603_1608Metric",-77.647800,-24.942800,0.000000,bottom
"R6","0R/DNP","R_0603_1608Metric",-70.231000,-26.974800,180.000000,bottom
"R7","0R","R_0603_1608Metric",-64.947800,-29.184600,90.000000,bottom
"R8","330R/DNP","R_0603_1608Metric",-63.347600,-29.184600,90.000000,bottom
"R9","330R","R_0603_1608Metric",-70.231000,-24.942800,180.000000,bottom
"R12","4.75K/1%","R_0603_1608Metric",-89.230200,-36.677600,90.000000,bottom
"R51","4.75K/1%/DNP","R_0603_1608Metric",-87.655400,-36.677600,-90.000000,bottom
"R52","49.9R","R_0603_1608Metric",-74.725000,-40.600000,180.000000,bottom
"R53","49.9R","R_0603_1608Metric",-71.500000,-40.600000,0.000000,bottom
"R54","49.9R","R_0603_1608Metric",-81.740000,-42.310000,180.000000,bottom
"R55","4.75K/1%","R_0603_1608Metric",-90.805000,-36.677600,90.000000,bottom
"R56","4.75K/1%/DNP","R_0603_1608Metric",-92.379800,-36.677600,-90.000000,bottom
"R57","49.9R","R_0603_1608Metric",-78.575000,-42.310000,0.000000,bottom
"R59","4.75K/1%","R_0603_1608Metric",-96.316800,-40.513000,0.000000,bottom
"R60","4.75K/1%/DNP","R_0603_1608Metric",-96.304600,-38.963600,180.000000,bottom
"R62","4.75K/1%","R_0603_1608Metric",-93.980000,-36.664400,90.000000,bottom
"R63","4.75K/1%/DNP","R_0603_1608Metric",-95.529400,-36.677600,-90.000000,bottom
"R75","0R","R_0603_1608Metric",-110.490000,-58.750200,0.000000,bottom
"R76","4.7K/DNP","R_0603_1608Metric",-89.585800,-72.466200,180.000000,bottom
"R81","4.7K/DNP","R_0603_1608Metric",-91.592400,-68.935600,180.000000,bottom
"R82","0R/DNP","R_0603_1608Metric",-116.433600,-81.127600,0.000000,bottom
"R83","0R/DNP","R_0603_1608Metric",-110.490000,-60.299600,0.000000,bottom
